partner_id,region,payment_rail_type,is_master_affiliate,tier,tenure_months,avg_commission_3m,commission_volatility,login_count_30d,days_since_last_interaction,dashboard_usage_score,asset_download_count_30d,payment_delay_flag,unresolved_ticket_count,negative_sentiment_score,tier_proximity_score,traffic_quality_score,subnetwork_avg_health_score,subnetwork_recent_churn_count,churn_label,login_trend_30d,revenue_velocity,commission_trend_90d,conversion_rate_wow,churn_scenario,created_at,updated_at
P13158,Africa,Crypto,False,Bronze,15,1368.31,616.79,11,0,0.6289,4,False,0,0.29,1.0,0.6993,,0,False,0.129,6.42,0.156,-0.019,Healthy,2026-02-07T04:12:17.215762,2026-02-07T04:12:17.215763
P13159,APAC,Crypto,False,Silver,8,4706.83,1534.71,11,6,0.709,2,False,0,0.39,1.0,0.3296,,0,True,-0.271,-80.51,0.121,-0.0262,Passive_Disengagement,2026-02-07T04:12:17.215819,2026-02-07T04:12:17.215819
P13160,LATAM,Agent,False,Bronze,29,2687.01,596.43,13,5,0.5609,5,False,0,0.11,1.0,0.8396,,0,False,0.014,9.33,0.084,0.0303,Healthy,2026-02-07T04:12:17.215871,2026-02-07T04:12:17.215872
P13161,EMEA,Bank,False,Bronze,10,1351.94,349.63,7,14,0.5336,4,False,1,0.11,1.0,0.4703,,0,False,0.041,-45.38,0.113,0.0099,Healthy,2026-02-07T04:12:17.215923,2026-02-07T04:12:17.215924
P13162,EMEA,Bank,False,Bronze,12,1132.57,233.77,10,1,0.4191,4,False,0,0.21,1.0,0.552,,0,True,-0.068,-68.47,-0.051,-0.0246,Passive_Disengagement,2026-02-07T04:12:17.215975,2026-02-07T04:12:17.215976
P13163,APAC,Crypto,False,Bronze,3,1416.09,478.9,18,17,0.6026,2,False,0,0.24,1.0,0.7591,,0,False,-0.018,15.91,-0.095,0.0226,Healthy,2026-02-07T04:12:17.216028,2026-02-07T04:12:17.216028
P13164,Africa,Bank,False,Bronze,17,3251.4,1334.34,10,1,0.5363,5,False,0,0.09,1.0,0.297,,0,True,0.033,-94.53,-0.172,-0.0311,Passive_Disengagement,2026-02-07T04:12:17.216079,2026-02-07T04:12:17.216080
P13165,Africa,Bank,False,Bronze,1,1685.55,685.9,22,2,0.77,2,False,1,0.07,1.0,0.6471,,0,False,0.194,23.26,0.028,0.0294,Healthy,2026-02-07T04:12:17.216131,2026-02-07T04:12:17.216132
P13166,EMEA,Bank,False,Bronze,10,1284.97,327.35,5,9,0.4988,2,False,1,0.31,1.0,0.6935,,0,False,0.117,7.72,-0.027,0.0221,Healthy,2026-02-07T04:12:17.216183,2026-02-07T04:12:17.216184
P13167,LATAM,Crypto,False,Silver,10,3568.09,920.8,16,0,0.5591,1,False,2,0.05,1.0,0.753,,0,True,0.209,-91.24,-0.173,-0.0522,Passive_Disengagement,2026-02-07T04:12:17.216239,2026-02-07T04:12:17.216239
P13168,APAC,Bank,False,Silver,12,1027.76,327.18,8,2,0.4903,3,False,1,0.19,0.0278,0.4237,,0,False,-0.205,28.46,0.048,0.026,Healthy,2026-02-07T04:12:17.216294,2026-02-07T04:12:17.216295
P13169,Africa,Bank,False,Bronze,30,1002.83,36.92,10,6,0.6406,6,False,1,0.14,1.0,0.6682,,0,False,-0.022,0.57,0.019,0.0062,Healthy,2026-02-07T04:12:17.216346,2026-02-07T04:12:17.216347
P13170,CIS,Bank,False,Bronze,76,1406.59,694.44,11,0,0.4533,6,False,0,0.15,1.0,0.3772,,0,False,0.212,17.83,0.083,0.0242,Healthy,2026-02-07T04:12:17.216460,2026-02-07T04:12:17.216462
P13171,EMEA,Agent,False,Bronze,30,3234.78,1181.37,38,5,0.2391,1,False,0,0.19,1.0,0.578,,0,False,0.1,11.85,-0.095,0.0325,Healthy,2026-02-07T04:12:17.216521,2026-02-07T04:12:17.216522
P13172,LATAM,P2P,True,Bronze,6,1057.59,487.21,16,3,0.5274,1,False,0,0.23,1.0,0.4139,75.0,12,False,0.044,48.74,-0.032,0.0273,Healthy,2026-02-07T04:12:17.216579,2026-02-07T04:12:17.216579
P13173,MENA,P2P,False,Bronze,15,6870.95,2075.35,23,3,0.5328,1,False,0,0.2,1.0,0.3478,,0,False,0.042,30.65,0.115,0.0111,Healthy,2026-02-07T04:12:17.216631,2026-02-07T04:12:17.216632
P13174,LATAM,Bank,False,Bronze,1,1146.15,89.93,17,5,0.5925,2,False,0,0.34,1.0,0.7321,,0,False,0.198,-30.75,0.036,0.0382,Healthy,2026-02-07T04:12:17.216684,2026-02-07T04:12:17.216685
P13175,LATAM,Agent,False,Bronze,20,1154.7,116.78,14,1,0.6214,1,False,0,0.05,1.0,0.5963,,0,False,0.439,-0.59,0.045,-0.0073,Healthy,2026-02-07T04:12:17.216753,2026-02-07T04:12:17.216754
P13176,EMEA,Bank,False,Silver,3,1233.95,531.23,19,4,0.4563,4,False,1,0.08,0.234,0.7385,,0,False,-0.262,-21.48,0.16,-0.0012,Healthy,2026-02-07T04:12:17.216814,2026-02-07T04:12:17.216815
P13177,MENA,Bank,True,Silver,1,20727.81,6087.4,13,5,0.4257,2,False,0,0.44,1.0,0.8177,92.0,2,False,0.052,16.5,-0.067,0.0045,Healthy,2026-02-07T04:12:17.216871,2026-02-07T04:12:17.216872
P13178,MENA,Bank,False,Bronze,1,1792.12,561.35,19,10,0.8926,4,False,1,0.18,1.0,0.8448,,0,False,0.033,58.12,0.05,0.0012,Healthy,2026-02-07T04:12:17.216928,2026-02-07T04:12:17.216929
P13179,APAC,P2P,False,Bronze,3,1156.95,185.72,10,0,0.4817,1,False,0,0.34,1.0,0.6371,,0,False,0.04,-85.6,-0.021,-0.0159,Healthy,2026-02-07T04:12:17.216988,2026-02-07T04:12:17.216989
P13180,LATAM,Bank,False,Bronze,9,2197.46,970.94,12,5,0.6722,2,False,1,0.44,1.0,0.4681,,0,True,0.19,-68.32,0.118,-0.0393,Passive_Disengagement,2026-02-07T04:12:17.217045,2026-02-07T04:12:17.217046
P13181,MENA,P2P,False,Silver,21,1155.71,293.29,0,10,0.2463,4,False,0,0.18,0.1557,0.7258,,0,False,-0.442,24.96,-0.072,0.0152,Healthy,2026-02-07T04:12:17.217101,2026-02-07T04:12:17.217102
P13182,CIS,Crypto,False,Silver,19,2495.19,612.44,3,2,0.8081,4,False,0,0.23,1.0,0.5282,,0,False,-0.089,6.08,-0.073,0.0095,Healthy,2026-02-07T04:12:17.217158,2026-02-07T04:12:17.217159
P13183,LATAM,Crypto,False,Gold,30,1201.48,814.83,34,3,0.7352,1,False,1,0.26,0.0,0.6455,,0,False,0.115,16.94,-0.083,0.0011,Healthy,2026-02-07T04:12:17.217217,2026-02-07T04:12:17.217218
P13184,LATAM,Agent,False,Silver,18,1050.01,500.4,21,0,0.5582,7,False,0,0.3,0.05,0.7936,,0,False,0.152,8.08,0.036,0.0105,Healthy,2026-02-07T04:12:17.217273,2026-02-07T04:12:17.217274
P13185,EMEA,Bank,False,Bronze,12,1391.56,508.61,12,4,0.3227,5,False,0,0.1,1.0,0.5617,,0,False,0.133,57.44,0.001,0.0316,Healthy,2026-02-07T04:12:17.217325,2026-02-07T04:12:17.217326
P13186,LATAM,Bank,False,Bronze,11,3317.99,998.28,25,8,0.5147,1,False,0,0.25,1.0,0.7239,,0,False,-0.115,-27.32,0.174,0.0083,Healthy,2026-02-07T04:12:17.217380,2026-02-07T04:12:17.217381
P13187,MENA,P2P,False,Gold,15,1181.51,635.43,5,3,0.3234,0,False,0,0.11,0.0,0.8732,,0,False,-0.083,14.49,0.021,-0.0026,Healthy,2026-02-07T04:12:17.217436,2026-02-07T04:12:17.217436
P13188,MENA,Agent,False,Bronze,16,2274.05,695.18,16,2,0.5577,0,False,0,0.33,1.0,0.5004,,0,False,0.073,29.43,-0.057,0.0245,Healthy,2026-02-07T04:12:17.217494,2026-02-07T04:12:17.217495
P13189,LATAM,Agent,False,Bronze,22,1070.06,627.29,18,0,0.9224,4,False,1,0.14,1.0,0.6144,,0,False,-0.251,40.66,0.124,-0.028,Healthy,2026-02-07T04:12:17.217549,2026-02-07T04:12:17.217550
P13190,Africa,Bank,False,Bronze,2,1046.75,270.06,11,9,0.5809,1,False,1,0.11,1.0,0.8708,,0,False,-0.183,25.03,0.212,0.0243,Healthy,2026-02-07T04:12:17.217603,2026-02-07T04:12:17.217604
P13191,APAC,Crypto,False,Bronze,4,4060.28,1472.54,0,1,0.4253,2,False,0,0.41,1.0,0.5897,,0,True,-0.456,-120.0,-0.257,-0.0472,Passive_Disengagement,2026-02-07T04:12:17.217658,2026-02-07T04:12:17.217659
P13192,MENA,P2P,False,Bronze,3,1236.11,597.09,5,2,0.5877,4,False,0,0.16,1.0,0.4833,,0,False,0.365,20.15,-0.092,0.0207,Healthy,2026-02-07T04:12:17.217713,2026-02-07T04:12:17.217714
P13193,Africa,P2P,False,Bronze,13,1169.31,297.27,16,2,0.7437,6,False,1,0.23,1.0,0.7183,,0,False,0.206,20.09,-0.171,0.0266,Healthy,2026-02-07T04:12:17.217765,2026-02-07T04:12:17.217766
P13194,LATAM,P2P,False,Bronze,89,2194.22,943.03,18,17,0.6035,3,False,0,0.13,1.0,0.6681,,0,True,0.069,-46.18,-0.149,-0.0178,Passive_Disengagement,2026-02-07T04:12:17.217820,2026-02-07T04:12:17.217821
P13195,EMEA,Bank,False,Bronze,30,4222.73,1320.02,4,0,0.5717,3,False,0,0.15,1.0,0.6449,,0,False,0.206,84.17,0.027,0.0233,Healthy,2026-02-07T04:12:17.217871,2026-02-07T04:12:17.217872
P13196,EMEA,Crypto,False,Bronze,2,2586.46,1207.42,0,13,0.4008,3,False,1,0.17,1.0,0.657,,0,False,0.022,-10.91,0.126,0.0046,Healthy,2026-02-07T04:12:17.217924,2026-02-07T04:12:17.217925
P13197,APAC,Crypto,False,Bronze,10,2428.16,734.48,19,2,0.6486,2,False,0,0.06,1.0,0.3723,,0,False,0.042,26.55,-0.111,0.0066,Healthy,2026-02-07T04:12:17.217978,2026-02-07T04:12:17.217979
P13198,LATAM,P2P,False,Silver,12,3383.11,1027.06,11,0,0.582,1,False,0,0.23,1.0,0.4518,,0,True,-0.118,-15.93,0.036,0.0231,Passive_Disengagement,2026-02-07T04:12:17.218037,2026-02-07T04:12:17.218038
P13199,LATAM,Mobile_Money,False,Platinum,6,4373.32,1455.77,0,2,0.836,1,False,0,0.37,0.0,0.171,,0,False,0.112,44.81,-0.088,0.0083,Healthy,2026-02-07T04:12:17.218094,2026-02-07T04:12:17.218095
P13200,LATAM,Bank,False,Bronze,22,1044.93,171.92,17,0,0.58,0,False,0,0.36,1.0,0.7634,,0,True,-0.391,-62.31,0.002,-0.0283,Passive_Disengagement,2026-02-07T04:12:17.218154,2026-02-07T04:12:17.218155
P13201,MENA,Crypto,False,Gold,2,1726.62,467.03,15,0,0.6347,4,True,0,0.07,0.0,0.6222,,0,True,0.215,-85.23,-0.075,-0.0686,Tier_Cliff_Anxiety,2026-02-07T04:12:17.218211,2026-02-07T04:12:17.218215
P13202,EMEA,Crypto,False,Bronze,33,12209.25,3756.65,13,4,0.4812,2,False,1,0.52,1.0,0.6655,,0,False,-0.049,64.71,-0.017,0.0118,Healthy,2026-02-07T04:12:17.218268,2026-02-07T04:12:17.218269
P13203,LATAM,Bank,False,Bronze,4,1086.76,489.31,15,7,0.4993,2,False,1,0.14,1.0,0.6388,,0,True,-0.139,35.31,-0.017,-0.0654,Passive_Disengagement,2026-02-07T04:12:17.218320,2026-02-07T04:12:17.218321
P13204,EMEA,Bank,False,Silver,7,3350.79,1127.33,22,1,0.7815,4,False,0,0.31,1.0,0.437,,0,False,-0.23,0.12,0.125,-0.02,Healthy,2026-02-07T04:12:17.218378,2026-02-07T04:12:17.218379
P13205,LATAM,Bank,False,Gold,18,3245.92,1367.35,14,2,0.769,2,False,1,0.29,0.0,0.5447,,0,True,-0.343,-81.59,0.084,-0.048,Tier_Cliff_Anxiety,2026-02-07T04:12:17.218436,2026-02-07T04:12:17.218437
P13206,MENA,P2P,False,Silver,9,1746.96,179.55,10,5,0.67,5,False,0,0.27,0.747,0.6695,,0,False,0.02,-42.63,0.032,0.0048,Healthy,2026-02-07T04:12:17.218495,2026-02-07T04:12:17.218496
P13207,EMEA,Mobile_Money,False,Bronze,56,7666.8,2418.72,12,1,0.7344,2,False,0,0.2,1.0,0.5241,,0,False,0.325,8.34,0.111,0.0161,Healthy,2026-02-07T04:12:17.218550,2026-02-07T04:12:17.218551
P13208,EMEA,Bank,False,Gold,62,22325.65,6696.0,19,4,0.6482,3,False,2,0.1,1.0,0.5885,,0,False,-0.064,18.49,-0.006,0.0066,Healthy,2026-02-07T04:12:17.218606,2026-02-07T04:12:17.218607
P13209,CIS,P2P,False,Platinum,22,1803.14,825.99,26,4,0.6784,4,False,0,0.07,0.0,0.4045,,0,False,0.178,-69.16,0.111,-0.0054,Healthy,2026-02-07T04:12:17.218663,2026-02-07T04:12:17.218664
P13210,APAC,P2P,False,Bronze,2,2039.07,279.47,17,2,0.9404,2,False,0,0.21,1.0,0.8703,,0,False,-0.149,33.25,-0.175,-0.0018,Healthy,2026-02-07T04:12:17.218719,2026-02-07T04:12:17.218720
P13211,LATAM,P2P,False,Silver,34,1067.87,372.39,15,7,0.5783,7,False,1,0.23,0.0679,0.5723,,0,False,-0.239,-9.85,-0.027,0.0094,Healthy,2026-02-07T04:12:17.218777,2026-02-07T04:12:17.218778
P13212,MENA,P2P,False,Silver,6,2001.75,297.04,6,1,0.568,2,False,1,0.11,1.0,0.4831,,0,False,-0.392,1.7,0.018,0.005,Healthy,2026-02-07T04:12:17.218835,2026-02-07T04:12:17.218836
P13213,LATAM,Bank,False,Silver,77,2652.02,995.69,8,0,0.5673,1,False,1,0.06,1.0,0.715,,0,False,0.009,64.44,0.059,-0.0076,Healthy,2026-02-07T04:12:17.218893,2026-02-07T04:12:17.218894
P13214,MENA,Crypto,False,Silver,36,2572.65,1023.77,3,3,0.5961,3,False,1,0.34,1.0,0.7262,,0,False,0.277,11.69,0.142,0.0243,Healthy,2026-02-07T04:12:17.218951,2026-02-07T04:12:17.218952
P13215,LATAM,Bank,False,Bronze,1,5248.1,1469.79,33,0,0.3708,1,False,0,0.29,1.0,0.4856,,0,False,0.038,59.56,0.059,-0.0092,Healthy,2026-02-07T04:12:17.219006,2026-02-07T04:12:17.219006
P13216,EMEA,P2P,False,Bronze,31,2663.8,583.46,18,3,0.6619,3,False,0,0.06,1.0,0.4355,,0,False,0.6,-24.13,0.111,-0.0162,Healthy,2026-02-07T04:12:17.219060,2026-02-07T04:12:17.219061
P13217,EMEA,Crypto,False,Bronze,9,3799.68,1101.01,10,6,0.8931,2,True,1,0.2,1.0,0.737,,0,False,0.011,-1.42,0.055,0.0034,Healthy,2026-02-07T04:12:17.219114,2026-02-07T04:12:17.219115
P13218,MENA,Mobile_Money,False,Bronze,6,20835.2,6245.5,7,5,0.7929,4,False,0,0.24,1.0,0.5509,,0,False,0.338,61.72,0.069,0.0108,Healthy,2026-02-07T04:12:17.219166,2026-02-07T04:12:17.219167
P13219,EMEA,Crypto,False,Bronze,21,3446.02,1106.39,7,2,0.7155,4,False,1,0.18,1.0,0.6444,,0,False,-0.02,10.95,0.027,-0.0014,Healthy,2026-02-07T04:12:17.219219,2026-02-07T04:12:17.219220
P13220,EMEA,Bank,False,Gold,7,3224.16,831.44,16,2,0.3731,4,False,0,0.31,0.0,0.6906,,0,False,0.421,-1.71,0.025,0.0025,Healthy,2026-02-07T04:12:17.219277,2026-02-07T04:12:17.219278
P13221,CIS,Crypto,False,Bronze,13,5671.6,1424.83,18,1,0.5991,5,False,0,0.12,1.0,0.2757,,0,False,0.129,10.3,-0.194,0.0249,Healthy,2026-02-07T04:12:17.219334,2026-02-07T04:12:17.219335
P13222,LATAM,P2P,False,Gold,42,2912.86,1120.89,8,4,0.7263,2,False,0,0.3,0.0,0.3604,,0,False,0.143,64.14,0.041,0.0055,Healthy,2026-02-07T04:12:17.219393,2026-02-07T04:12:17.219394
P13223,APAC,Agent,False,Silver,2,7939.25,2351.47,9,0,0.4274,2,False,1,0.2,1.0,0.6262,,0,False,0.015,3.25,0.008,0.0175,Healthy,2026-02-07T04:12:17.219451,2026-02-07T04:12:17.219452
P13224,CIS,Bank,False,Silver,17,3146.85,797.69,11,0,0.588,1,False,0,0.32,1.0,0.7662,,0,True,-0.275,-8.65,-0.255,-0.0237,Passive_Disengagement,2026-02-07T04:12:17.219510,2026-02-07T04:12:17.219511
P13225,MENA,P2P,False,Gold,15,3295.84,1241.66,15,4,0.5102,3,False,0,0.1,0.0,0.5829,,0,False,0.14,-17.34,-0.035,0.0272,Healthy,2026-02-07T04:12:17.219569,2026-02-07T04:12:17.219570
P13226,EMEA,Bank,False,Bronze,5,4373.83,1164.18,21,0,0.5317,2,True,1,0.07,1.0,0.4908,,0,False,0.232,-25.68,0.005,0.0123,Healthy,2026-02-07T04:12:17.219624,2026-02-07T04:12:17.219624
P13227,APAC,Bank,False,Bronze,1,2779.94,898.09,17,4,0.4625,10,False,0,0.1,1.0,0.6985,,0,False,0.234,19.53,0.067,0.0197,Healthy,2026-02-07T04:12:17.219678,2026-02-07T04:12:17.219679
P13228,EMEA,Mobile_Money,False,Gold,25,3895.63,1114.88,20,15,0.8575,2,False,0,0.17,0.0,0.8552,,0,False,-0.124,14.46,0.097,0.0061,Healthy,2026-02-07T04:12:17.219737,2026-02-07T04:12:17.219738
P13229,LATAM,P2P,False,Bronze,35,3225.71,895.96,9,5,0.7477,3,False,0,0.13,1.0,0.4656,,0,False,-0.01,34.17,-0.019,0.0129,Healthy,2026-02-07T04:12:17.219794,2026-02-07T04:12:17.219794
P13230,EMEA,Bank,False,Bronze,11,8255.88,2393.25,24,3,0.4963,3,False,0,0.07,1.0,0.4645,,0,False,0.156,34.6,-0.099,0.0057,Healthy,2026-02-07T04:12:17.219848,2026-02-07T04:12:17.219849
P13231,Africa,Crypto,False,Bronze,31,1818.64,666.33,6,20,0.7405,1,False,1,0.19,1.0,0.472,,0,False,0.217,26.55,-0.069,-0.0059,Healthy,2026-02-07T04:12:17.219903,2026-02-07T04:12:17.219904
P13232,Africa,Bank,False,Bronze,15,2483.71,716.37,2,2,0.5696,2,False,2,0.17,1.0,0.9496,,0,True,0.002,-55.58,-0.147,-0.0418,Passive_Disengagement,2026-02-07T04:12:17.219965,2026-02-07T04:12:17.219966
P13233,LATAM,Bank,False,Bronze,8,1244.09,460.78,33,0,0.7002,1,False,1,0.15,1.0,0.5231,,0,False,-0.219,30.32,0.09,0.0261,Healthy,2026-02-07T04:12:17.220019,2026-02-07T04:12:17.220020
P13234,LATAM,Bank,False,Bronze,1,1054.47,540.88,9,3,0.728,3,False,0,0.18,1.0,0.7218,,0,True,-0.216,-92.37,-0.296,-0.0177,Passive_Disengagement,2026-02-07T04:12:17.220073,2026-02-07T04:12:17.220074
P13235,LATAM,Bank,False,Silver,4,1946.84,623.7,0,34,0.3339,2,False,1,0.3,0.9468,0.295,,0,True,0.304,-136.98,0.037,-0.009,Passive_Disengagement,2026-02-07T04:12:17.220132,2026-02-07T04:12:17.220133
P13236,APAC,P2P,False,Gold,1,1067.55,382.31,23,0,0.5572,2,False,0,0.04,0.0,0.3994,,0,False,-0.175,-62.4,-0.022,0.0061,Healthy,2026-02-07T04:12:17.220191,2026-02-07T04:12:17.220192
P13237,Africa,Agent,False,Silver,7,2345.33,782.7,11,7,0.4647,5,False,0,0.21,1.0,0.7331,,0,False,-0.194,12.13,0.057,0.0195,Healthy,2026-02-07T04:12:17.220249,2026-02-07T04:12:17.220249
P13238,MENA,Bank,False,Bronze,3,2405.11,682.38,14,15,0.558,3,False,0,0.15,1.0,0.3816,,0,True,-0.217,-110.35,0.012,-0.0416,Passive_Disengagement,2026-02-07T04:12:17.220303,2026-02-07T04:12:17.220304
P13239,MENA,Agent,False,Bronze,2,1366.81,408.45,5,0,0.7021,4,False,0,0.29,1.0,0.3775,,0,False,0.264,73.71,-0.112,0.0113,Healthy,2026-02-07T04:12:17.220357,2026-02-07T04:12:17.220358
P13240,MENA,Bank,False,Gold,14,3550.26,930.36,15,0,0.6996,2,False,0,0.14,0.0,0.5666,,0,False,0.149,59.91,0.067,0.0095,Healthy,2026-02-07T04:12:17.220415,2026-02-07T04:12:17.220416
P13241,LATAM,Agent,False,Silver,4,1192.67,201.58,16,3,0.7741,2,False,1,0.3,0.1927,0.6404,,0,False,0.018,-17.26,0.075,0.0335,Healthy,2026-02-07T04:12:17.220498,2026-02-07T04:12:17.220501
P13242,Africa,Agent,False,Bronze,8,4734.89,1634.61,14,4,0.6181,3,False,0,0.44,1.0,0.4063,,0,True,0.411,-83.38,-0.075,-0.0345,Passive_Disengagement,2026-02-07T04:12:17.220575,2026-02-07T04:12:17.220575
P13243,Africa,Bank,False,Bronze,1,1487.92,535.24,13,8,0.6028,2,False,0,0.14,1.0,0.2639,,0,True,-0.507,-54.6,-0.082,-0.0102,Passive_Disengagement,2026-02-07T04:12:17.220628,2026-02-07T04:12:17.220629
P13244,MENA,Bank,False,Bronze,4,1263.4,342.52,5,3,0.8713,1,False,1,0.22,1.0,0.6082,,0,False,-0.067,1.7,0.035,-0.015,Healthy,2026-02-07T04:12:17.220680,2026-02-07T04:12:17.220681
P13245,APAC,Mobile_Money,False,Silver,26,1796.56,435.26,25,1,0.7275,4,False,0,0.25,0.7966,0.6512,,0,False,-0.073,-80.36,0.024,-0.0071,Healthy,2026-02-07T04:12:17.220737,2026-02-07T04:12:17.220738
P13246,EMEA,Crypto,False,Bronze,17,100000.0,29709.45,9,0,0.7373,3,False,0,0.26,1.0,0.678,,0,False,0.088,44.09,0.005,0.0119,Healthy,2026-02-07T04:12:17.220792,2026-02-07T04:12:17.220793
P13247,CIS,P2P,False,Bronze,13,1344.57,82.23,6,7,0.5331,5,False,1,0.25,1.0,0.6939,,0,False,0.12,45.34,0.111,-0.0097,Healthy,2026-02-07T04:12:17.220844,2026-02-07T04:12:17.220845
P13248,MENA,Bank,False,Bronze,9,2042.1,680.63,1,6,0.5025,5,False,0,0.18,1.0,0.5309,,0,False,-0.191,2.64,-0.096,-0.0027,Healthy,2026-02-07T04:12:17.220896,2026-02-07T04:12:17.220897
P13249,LATAM,Bank,False,Bronze,32,1846.84,889.24,4,5,0.5397,5,False,0,0.21,1.0,0.75,,0,True,-0.004,-93.17,0.186,-0.0201,Passive_Disengagement,2026-02-07T04:12:17.220956,2026-02-07T04:12:17.220957
P13250,MENA,Bank,False,Silver,1,1051.42,436.14,20,0,0.8675,0,False,1,0.33,0.0514,0.1458,,0,False,0.066,4.49,0.07,0.031,Healthy,2026-02-07T04:12:17.221012,2026-02-07T04:12:17.221012
P13251,LATAM,Agent,False,Bronze,1,1163.45,693.62,22,1,0.7233,5,False,0,0.05,1.0,0.6324,,0,False,-0.209,14.43,0.118,0.0162,Healthy,2026-02-07T04:12:17.221064,2026-02-07T04:12:17.221064
P13252,CIS,Crypto,False,Bronze,6,3127.98,972.55,10,4,0.6935,4,False,2,0.33,1.0,0.6733,,0,False,-0.061,36.6,-0.062,0.021,Healthy,2026-02-07T04:12:17.221115,2026-02-07T04:12:17.221116
P13253,Africa,Agent,False,Silver,3,1314.44,96.3,20,1,0.6716,1,False,1,0.34,0.3144,0.5549,,0,False,0.08,3.16,0.182,0.0274,Healthy,2026-02-07T04:12:17.221171,2026-02-07T04:12:17.221172
P13254,MENA,Agent,False,Bronze,7,1837.75,538.43,19,7,0.3098,5,False,0,0.44,1.0,0.6502,,0,False,-0.229,-57.45,0.02,-0.0185,Healthy,2026-02-07T04:12:17.221223,2026-02-07T04:12:17.221224
P13255,MENA,Bank,False,Gold,11,1431.48,170.14,24,6,0.5525,5,False,0,0.02,0.0,0.6098,,0,False,-0.093,33.76,-0.123,-0.0053,Healthy,2026-02-07T04:12:17.221281,2026-02-07T04:12:17.221282
P13256,LATAM,Bank,False,Bronze,16,1093.15,186.62,9,4,0.4711,3,False,3,0.13,1.0,0.4368,,0,False,0.043,20.73,-0.013,0.0331,Healthy,2026-02-07T04:12:17.221333,2026-02-07T04:12:17.221334
P13257,CIS,Bank,False,Bronze,2,1038.22,176.32,15,0,0.799,2,False,0,0.17,1.0,0.4082,,0,False,0.035,26.58,-0.011,0.0294,Healthy,2026-02-07T04:12:17.221384,2026-02-07T04:12:17.221385
P13258,CIS,Bank,False,Silver,6,2180.61,491.95,35,7,0.7922,3,False,1,0.07,1.0,0.8745,,0,True,-0.162,-78.95,-0.142,-0.0363,Passive_Disengagement,2026-02-07T04:12:17.221440,2026-02-07T04:12:17.221441
P13259,MENA,P2P,False,Bronze,8,1647.6,516.1,11,6,0.5427,4,False,0,0.19,1.0,0.6302,,0,True,0.099,-115.35,0.024,-0.0115,Passive_Disengagement,2026-02-07T04:12:17.221493,2026-02-07T04:12:17.221493
P13260,LATAM,Bank,False,Bronze,36,2209.91,175.59,17,3,0.8751,5,False,0,0.35,1.0,0.626,,0,False,0.18,51.86,-0.021,0.0179,Healthy,2026-02-07T04:12:17.221545,2026-02-07T04:12:17.221546
P13261,MENA,Crypto,False,Bronze,21,1572.86,877.83,8,1,0.3586,3,False,0,0.15,1.0,0.7147,,0,True,-0.083,-102.48,-0.041,-0.0384,Passive_Disengagement,2026-02-07T04:12:17.221596,2026-02-07T04:12:17.221597
P13262,EMEA,Bank,False,Gold,40,3922.16,1123.35,6,4,0.7703,3,False,1,0.07,0.0,0.5779,,0,True,0.341,-81.36,-0.099,-0.0173,Tier_Cliff_Anxiety,2026-02-07T04:12:17.221653,2026-02-07T04:12:17.221654
P13263,APAC,Agent,False,Bronze,29,2271.5,564.97,12,2,0.8126,3,False,0,0.46,1.0,0.5688,,0,False,-0.055,-20.04,-0.028,0.0135,Healthy,2026-02-07T04:12:17.221707,2026-02-07T04:12:17.221708
P13264,LATAM,Crypto,False,Bronze,26,1264.58,573.92,8,0,0.924,6,True,0,0.23,1.0,0.6472,,0,False,-0.078,16.47,0.04,0.0016,Healthy,2026-02-07T04:12:17.221759,2026-02-07T04:12:17.221760
P13265,EMEA,Crypto,False,Silver,27,1088.74,426.68,10,3,0.638,1,False,0,0.15,0.0887,0.4223,,0,True,-0.231,-42.46,-0.112,-0.0276,Passive_Disengagement,2026-02-07T04:12:17.221815,2026-02-07T04:12:17.221816
P13266,APAC,Crypto,False,Silver,25,7266.68,2152.37,15,2,0.2808,1,False,0,0.15,1.0,0.5761,,0,False,-0.036,77.64,0.015,0.0124,Healthy,2026-02-07T04:12:17.221874,2026-02-07T04:12:17.221875
P13267,CIS,Mobile_Money,False,Bronze,15,3089.75,755.03,2,0,0.4045,1,False,0,0.11,1.0,0.6452,,0,False,0.326,25.64,-0.017,-0.0068,Healthy,2026-02-07T04:12:17.221929,2026-02-07T04:12:17.221930
P13268,Africa,Agent,False,Bronze,27,1169.63,352.27,22,12,0.4551,2,False,0,0.31,1.0,0.6036,,0,True,0.159,-68.32,-0.144,-0.0307,Passive_Disengagement,2026-02-07T04:12:17.221984,2026-02-07T04:12:17.221985
P13269,LATAM,Crypto,False,Gold,23,8125.85,2451.88,13,3,0.8492,0,True,0,0.21,0.6252,0.6507,,0,False,0.035,40.51,-0.008,0.0267,Healthy,2026-02-07T04:12:17.222040,2026-02-07T04:12:17.222041
P13270,EMEA,P2P,False,Bronze,5,2485.1,689.1,6,0,0.4537,5,False,2,0.28,1.0,0.6439,,0,False,0.231,-38.32,-0.062,0.0344,Healthy,2026-02-07T04:12:17.222093,2026-02-07T04:12:17.222093
P13271,EMEA,Bank,False,Silver,4,1617.95,761.76,7,4,0.7478,4,False,1,0.12,0.618,0.7358,,0,False,0.307,40.41,0.104,-0.0072,Healthy,2026-02-07T04:12:17.222148,2026-02-07T04:12:17.222149
